Title,Artist,Period,Complexity,Relevance
The Apotheosis of the Spanish Monarchy,Giovanni Battista Tiepolo,Baroque,7,7
Woman with a Pink,Rembrandt (Rembrandt van Rijn),Baroque,8,8
Bouquet of Sunflowers,Claude Monet,Impressionism,8,8
Dancer,Edgar Degas,Impressionism,4,9
Neptune and the Winds,Giovanni Battista Tiepolo,Baroque,6,9
The Dance Lesson,Edgar Degas,Impressionism,6,10
The Parc Monceau,Claude Monet,Impressionism,6,10
Bellona,Rembrandt (Rembrandt van Rijn),Baroque,9,10
